p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
1.149,0.324,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:29.455905
1.774,0.5,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:34.256015
1.774,0.5,0.037000000000000005,2.0,100,3.55,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:53.639173
0.04,0.01,0.08800000000000001,2.0,50,4.01,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:59.496103
0.802,0.2,0.08800000000000001,2.0,50,4.01,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:05:38.174675
2.004,0.5,0.08800000000000001,2.0,50,4.01,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:01.701493
0.054000000000000006,0.01,0.057,2.0,100,5.37,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:05:09.496512
0.054000000000000006,0.01,0.057,2.0,100,5.37,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:05.732031
0.083,0.015,0.057,2.0,100,5.37,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:05:13.031470
0.128,0.024,0.057,2.0,100,5.37,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:05:33.327943
0.198,0.037000000000000005,0.057,2.0,100,5.37,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:05:23.233327
0.305,0.057,0.057,2.0,100,5.37,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:05:31.289778
